fx_risco,qtd,media_prob,media_scr,sd_limite,media_limite,mediana_limite,pd_observado,min_limite,max_limite,IC_inf,IC_sup,media_limite_isotonico
"(685.208, 688.096]",2153,0.19297923406922923,686.6760702149172,3708.1662968133105,7384.207772270104,6952.0,0.05945192754296331,756.0,36864.0,7227.485901139355,7540.929643400854,8644.061361121943
"(563.137, 565.593]",2153,0.5658843593175079,564.3432898002882,5275.215936193052,7502.519355640475,6480.0,0.3738968880631677,500.0,40000.0,7279.56772781046,7725.470983470489,7554.416697745868
"(552.84, 555.457]",2153,0.6001999959508045,554.1561100883841,5059.632860576829,7508.781092387264,6900.0,0.42963307013469576,500.0,38400.0,7294.940863639791,7722.621321134737,7329.457002660146
"(690.951, 694.005]",2153,0.18074707554925912,692.485403546928,4063.625035682872,7563.954782484726,7038.0,0.04923362749651649,800.0,38333.0,7392.209809851412,7735.69975511804,8644.061361121943
"(560.646, 563.137]",2153,0.574316282314244,561.861419649428,5686.88892049276,7606.3140398512605,6600.0,0.3989781699953553,500.0,46080.0,7365.963472699437,7846.664607003084,7554.416697745868
"(694.005, 697.087]",2153,0.17454731521444722,695.5470132765051,3910.3274729194272,7762.095911965127,7200.0,0.048304691128657685,785.0,40000.0,7596.829904662121,7927.361919268133,8644.061361121943
"(565.593, 568.075]",2153,0.5574441058119268,566.8163529245321,5741.2330799287965,7867.6345241058325,6842.0,0.3683232698560149,500.0,40000.0,7624.987156414302,8110.281891797363,7867.6345241058325
"(697.087, 700.045]",2154,0.16859615811493095,698.56743999328,4767.334467499477,7913.61523516279,7307.5,0.05385329619312906,500.0,100000.0,7712.1755286428815,8115.054941682698,8644.061361121943
"(568.075, 570.501]",2153,0.5489100287604936,569.3070758109934,6060.13517166683,8027.0039835846355,6754.0,0.36228518346493266,500.0,40000.0,7770.878543842334,8283.129423326938,8027.0039835846355
"(570.501, 572.857]",2153,0.5406987116127705,571.6956681177475,5999.329266630019,8110.043178267779,6936.0,0.3409196470041802,600.0,40000.0,7856.487638160603,8363.598718374955,8110.043178267779
"(700.045, 702.929]",2153,0.16300788511937353,701.4819656149236,4286.750121944163,8191.801413651566,7507.0,0.05016256386437529,1000.0,40000.0,8010.626286538629,8372.976540764503,8644.061361121943
"(572.857, 575.125]",2153,0.5326554634087927,574.0291334530841,6227.920147383582,8285.590796475139,6988.0,0.3316302833255922,500.0,40000.0,8022.374095651974,8548.807497298303,8285.590796475139
"(702.929, 705.673]",2153,0.15772988306085575,704.3095403928859,4434.22573321911,8302.755321226408,7590.0,0.03715745471435207,500.0,38400.0,8115.3472876321675,8490.163354820648,8644.061361121943
"(634.578, 639.301]",2153,0.3228873607891575,636.8878768126601,6665.367930849338,8385.34492349478,7200.0,0.12726428239665583,400.0,40000.0,8103.639937719113,8667.049909270447,8644.061361121943
"(705.673, 708.352]",2153,0.15281706536922204,707.0114064516611,4375.233469338765,8437.7851254544,7838.0,0.03715745471435207,1000.0,40000.0,8252.870339799312,8622.699911109488,8644.061361121943
"(708.352, 711.113]",2153,0.14800786440198505,709.726494821869,4632.1695192505285,8593.950636874188,7824.0,0.03715745471435207,710.0,40000.0,8398.176710803062,8789.724562945314,8644.061361121943
"(711.113, 713.91]",2153,0.143143648073242,712.5478650374736,4790.393873436052,8706.5360608723,7938.0,0.035764050162563864,1000.0,40000.0,8504.074943650196,8908.997178094405,8706.5360608723
